DMP服务器硬盘信息统计,,,,,,,,
,,,,,,,,
,,,,,,,,
主机名,IP复制和Idac管理地址,SN,服务器型号,当前硬盘数和Raid信息,硬盘插槽总数,已使用硬盘插槽,未使用硬盘插槽,备注
hadoop-slave-003,10.96.29.73/10.96.34.92,JZ7Z622,R620,"2X140G    6X900G(Raid1,Raid0)",6 X 2.5,6,0,
hadoop-slave-004,10.96.29.74/10.96.33.93,80ZX2W1,R620,1X140G    6X900G,6 X 2.5,6,0,
hadoop-slave-005,10.96.29.75/10.96.34.91,1XYX2W1,R620,"2X140G    6X900G(Raid1,Raid0)",6 X 2.5,6,0,
hadoop-slave-006,10.96.29.76/10.96.33.92,160Z622,R620,"2X140G    6X900G(Raid1,Raid0)",6 X 2.5,6,0,
hadoop-slave-007,10.96.29.77/10.96.33.137,5T8Q202,R620,1X140G    6X900G,6 X 2.5,6,0,
hd-master-001,10.96.30.51/10.96.62.192,3X62Z42,R820,8X600G(Raid10),16 X 2.5,8,8,
hd-master-002,10.96.30.52/10.96.61.193,5X62Z42,R820,8X600G(Raid10),16 X 2.5,8,8,
hd-master-003,10.96.30.53/10.96.61.194,4X62Z42,R820,8X600G(Raid10),16 X 2.5,8,8,
10.96.6.240:/DMP,10.96.6.240 ,无法查询,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
机型总计及硬盘(建议),,,,,,,,
,,,,,,,,
机型,总数,硬盘插槽及规格,推荐建议,,,,,
R420,25台,4 X 3.5,可以上4T 3.5寸的盘性价比会比 2.5寸稍微低一些,,,,,
R610,1台,6 X 2.5,2.5寸盘 容量在2T左右价格比较的贵在2000多左右;具体可以网上查询,,,,,
R620,29台,6 X 2.5,2.5寸盘 容量在2T左右价格比较的贵在2000多左右;具体可以网上查询,,,,,
R820,3台,16 X 2.5,2.5寸盘 容量在2T左右价格比较的贵在2000多左右;具体可以网上查询,,,,,
未知机型,1台,,,,,,,
